problem	trajectory_id	started	ended	model	steps	cached_tokens	input_tokens	output_tokens	cost_usd	solved
putnam_1964_b1	221a6f6f-fe81-4d33-a4f2-12021e1e4be3	2026-08-08T00:05:29	2026-08-08T00:17:49	deepseek-v4-flash	41	968349	39789	64257	0.0263	1
putnam_1964_b2	4e368e0c-4ac4-4d6c-a0b0-74f0fda881a2	2026-08-08T00:17:58	2026-08-08T00:22:40	deepseek-v4-flash	11	56588	10465	28988	0.0097	1
putnam_1964_b3	93341eb2-5e0c-47fe-b1de-341b2e04627a	2026-08-08T00:22:46	2026-08-08T00:44:10	deepseek-v4-flash	41	931493	47745	107693	0.0394	1
putnam_1964_b4	97e7abf8-7eca-467a-9593-6df54eec2e5b	2026-08-08T00:34:16	2026-08-08T01:32:59	deepseek-v4-flash	182	13494792	1148129	330760	0.2911	1
putnam_1964_b4	e7c88348-736e-439a-8217-5b5739ac4b7d	2026-08-12T04:07:56	2026-08-12T05:44:06	deepseek-v4-flash	158	15088514	173977	375092	0.1716	1
putnam_1964_b5	998e96aa-ce4b-40ab-afcc-132f2a57826c	2026-08-08T00:44:20	2026-08-08T01:03:36	deepseek-v4-flash	24	371382	28322	104324	0.0342	1
putnam_1964_b6	6edb85bd-5eb3-4610-8a4b-ae9828b1042c	2026-08-08T01:03:48	2026-08-08T01:20:10	deepseek-v4-flash	36	716304	40545	93112	0.0338	1
putnam_1965_a1	2f199460-ea59-4613-8b2c-7d3fc2b45986	2026-08-08T01:17:12	2026-08-08T02:00:36	deepseek-v4-flash	86	3260634	69258	136009	0.0569	1
putnam_1965_a2	a76fe94d-6c06-4eb1-ba11-b2e99e98ed8e	2026-08-08T01:20:19	2026-08-08T02:06:52	deepseek-v4-flash	147	8033737	94651	213311	0.0955	1
putnam_1965_a3	118c89cd-6bad-495f-9057-f91421da5b09	2026-08-08T01:32:59	2026-08-08T01:55:04	deepseek-v4-flash	42	936091	37686	109824	0.0386	1
putnam_1965_a4	cbc75823-6e1d-433e-8136-fcfebc9410a7	2026-08-08T01:55:13	2026-08-08T01:57:10	deepseek-v4-flash	8	24281	4816	9854	0.0035	1
putnam_1965_a5	e6ae0b82-714a-4069-b605-0bf9a6d730b8	2026-08-08T01:57:16	2026-08-08T03:25:49	deepseek-v4-flash	61	1964100	59269	158297	0.0581	1
putnam_1965_a6	5589a7c9-696a-4006-a547-46c190b8555f	2026-08-08T02:01:21	2026-08-08T02:04:42	deepseek-v4-flash	12	52049	8877	16060	0.0059	1
putnam_1965_b1	eaea6875-b96f-4a60-aa87-08f93013650a	2026-08-07T19:14:50	2026-08-07T19:23:38	deepseek-v4-flash	40	779524	37658	48712	0.0211	0
putnam_1965_b1	0bec8f32-4e21-46e9-872d-4827b26e06d4	2026-08-07T19:24:05	2026-08-07T19:27:10	deepseek-v4-flash	12	88986	13606	20283	0.0078	0
putnam_1965_b1	f83ca6e3-0d7e-4566-b44f-42f73b47dc42	2026-08-08T02:04:49	2026-08-08T02:19:21	deepseek-v4-flash	58	1417544	46153	70224	0.0301	1
putnam_1965_b2	4801415f-b156-4abb-aa2d-86d42d38b127	2026-08-08T02:07:00	2026-08-08T02:13:47	deepseek-v4-flash	10	60222	12170	41213	0.0134	1
putnam_1965_b3	428a4352-2b5c-4630-a1cb-7ddf2d2a6edc	2026-08-08T02:13:54	2026-08-08T02:20:33	deepseek-v4-flash	19	160299	18849	33779	0.0125	1
putnam_1965_b4	90a26bae-bc95-4f8c-bd28-01be4f9d5a90	2026-08-08T02:19:31	2026-08-08T02:47:05	deepseek-v4-flash	49	1467323	46424	134056	0.0481	1
putnam_1965_b5	0508721f-a295-4c94-945e-217ccd41304f	2026-08-08T02:20:48	2026-08-08T02:36:29	deepseek-v4-flash	45	1094834	43429	81378	0.0319	1
putnam_1965_b6	5d66195a-214c-4f66-85d3-258b713043ba	2026-08-08T02:36:39	2026-08-08T04:28:36	deepseek-v4-flash	292	32844515	199053	373679	0.2245	1
putnam_1966_a1	0f234301-d4ca-4488-9d31-9e52a56bcd28	2026-08-08T02:47:18	2026-08-08T02:57:28	deepseek-v4-flash	23	221451	18394	53411	0.0182	1
putnam_1966_a2	9876bdb6-38cd-4432-9070-203f4df68476	2026-08-08T02:57:35	2026-08-08T03:28:54	deepseek-v4-flash	98	7165346	116512	147573	0.0777	1
putnam_1966_a3	56405e5a-1925-4028-af65-5c587f4f16af	2026-08-08T03:25:57	2026-08-08T03:36:12	deepseek-v4-flash	25	279247	20752	53146	0.0186	1
putnam_1966_a4	a9ca317b-3c8c-4ab0-82fc-c8d4d90b68d9	2026-08-07T19:14:50	2026-08-07T19:23:02	deepseek-v4-flash	13	82898	16701	45036	0.0152	1
putnam_1966_a5	a7df9be2-7300-49ad-9383-275c801f0263	2026-08-08T03:29:08	2026-08-08T04:05:32	deepseek-v4-flash	8	20026	4303	223355	0.0632	1
putnam_1966_a6	f396c4c5-98b9-4bbf-b275-ef0bca69c0da	2026-08-08T03:36:20	2026-08-08T03:49:03	deepseek-v4-flash	10	84619	16611	73105	0.023	1
putnam_1966_b1	6efb46c8-275d-4d45-999f-addfecbbffee	2026-08-08T03:49:21	2026-08-08T05:05:39	deepseek-v4-flash	174	18422491	188872	361538	0.1793	1
putnam_1966_b2	130634c0-27cd-4f3a-88a9-36f0d09b240a	2026-08-08T04:05:39	2026-08-08T04:23:02	deepseek-v4-flash	17	202568	22492	101618	0.0322	1
putnam_1966_b3	21e3b04f-689e-4ef3-af09-1f25718a37f4	2026-08-08T04:23:12	2026-08-08T05:52:47	deepseek-v4-flash	61	1615310	51248	146097	0.0526	1
putnam_1966_b4	02c4aec7-c1e7-4e24-a012-d8de429f8153	2026-08-08T04:28:57	2026-08-08T04:41:14	deepseek-v4-flash	28	371033	30049	67974	0.0243	1
putnam_1966_b5	47b1c4af-479e-4677-9f95-7b2340b59bfa	2026-08-08T04:41:20	2026-08-08T05:45:43	deepseek-v4-flash	134	9719481	136398	271571	0.1224	1
putnam_1966_b6	03a68979-f853-4ce5-ae86-1fb5eb045d62	2026-08-08T05:06:02	2026-08-08T05:10:23	deepseek-v4-flash	28	257683	17504	20976	0.009	1
putnam_1967_a1	f01b078d-3571-43f5-b9b7-7e0b6bf5f18c	2026-08-08T05:10:30	2026-08-08T05:19:23	deepseek-v4-flash	17	134917	14214	48065	0.0158	1
putnam_1967_a2	84eeb852-e9e0-4a4e-8f65-0e66a48baa00	2026-08-08T05:19:31	2026-08-08T06:29:01	deepseek-v4-flash	222	19020838	164184	322289	0.1665	1
putnam_1967_a3	b2b14d44-2bb2-4940-8078-38065ad943a9	2026-08-08T05:46:02	2026-08-08T06:09:09	deepseek-v4-flash	47	1161547	43219	110097	0.0401	1
putnam_1967_a4	d963034d-3baf-401e-8ca2-adead2cb1109	2026-08-08T05:52:55	2026-08-08T07:02:18	deepseek-v4-flash	180	18378670	180218	310275	0.1636	1
putnam_1967_a5	41fcee92-e6d8-4624-996d-f743348b5cfe	2026-08-08T06:09:31	2026-08-08T07:39:50	deepseek-v4-flash	197	17643302	167794	365010	0.1751	1
putnam_1967_a6	5506627c-0283-4e6f-b184-471526123618	2026-08-08T06:29:13	2026-08-08T07:11:13	deepseek-v4-flash	104	5478619	98517	232532	0.0942	1
putnam_1967_b1	d8327e58-6bda-4bac-b067-e28943d27f0d	2026-08-08T07:02:39	2026-08-08T20:49:24	deepseek-v4-flash	403	66516968	303227	616777	0.4014	1
putnam_1967_b2	1f2a88be-6418-44f4-af3d-b8152966267c	2026-08-08T07:11:22	2026-08-08T07:16:00	deepseek-v4-flash	5	14692	6035	27112	0.0085	1
putnam_1967_b3	bdce075c-b209-48e2-be5f-3cdc405715fe	2026-08-08T07:16:12	2026-08-08T07:51:27	deepseek-v4-flash	97	4923689	97523	144511	0.0679	1
putnam_1967_b4	9d1c67a2-7e9a-4c11-b8bd-9d53f65e5367	2026-08-08T07:33:06	2026-08-08T07:42:59	deepseek-v4-flash	33	379702	29543	67227	0.024	1
putnam_1967_b5	59c72826-1cbc-450a-a896-adc282efa5ec	2026-08-08T07:34:53	2026-08-08T07:51:50	deepseek-v4-flash	24	529842	37812	109672	0.0375	1
putnam_1967_b6	abe42d68-7086-44c4-9aff-21c06446db20	2026-08-08T07:40:05	2026-08-08T08:55:24	deepseek-v4-flash	22	176067	17776	488107	0.1397	1
putnam_1968_a1	944e22b3-1bee-4261-a976-cf71065dc77e	2026-08-08T07:43:05	2026-08-08T07:49:44	deepseek-v4-flash	20	173597	17210	37528	0.0134	1
putnam_1968_a2	ec7036bf-d47d-42f6-922e-97b149c271b0	2026-08-08T07:49:53	2026-08-08T07:53:02	deepseek-v4-flash	11	56437	9322	17134	0.0063	1
putnam_1968_a3	902d7ae5-5022-4cfe-872e-4feb26850669	2026-08-08T07:51:52	2026-08-08T08:11:18	deepseek-v4-flash	39	787367	38034	115562	0.0399	1
putnam_1968_a4	d229b770-fb84-42b6-9dc6-eeb6adfcf358	2026-08-08T07:51:57	2026-08-08T07:58:21	deepseek-v4-flash	28	357763	23396	32805	0.0135	1
putnam_1968_a5	51199699-b5e9-4c38-87a5-d1e39c93849f	2026-08-08T07:53:08	2026-08-08T07:57:31	deepseek-v4-flash	30	255170	16385	19457	0.0085	1
putnam_1968_a6	e31e9541-74c6-454f-ae42-48fe1a0e8dd4	2026-08-08T07:57:40	2026-08-08T12:43:20	deepseek-v4-flash	238	21220292	170542	342299	0.1791	1
putnam_1968_b1	69854b06-505f-4070-83ae-300ab6d5fa8a	2026-08-08T07:58:28	2026-08-08T08:00:29	deepseek-v4-flash	8	29124	7231	11522	0.0043	1
putnam_1968_b2	55c438dc-50bf-49f5-a946-7136571f323c	2026-08-08T08:00:36	2026-08-08T08:02:47	deepseek-v4-flash	18	195033	17106	10396	0.0059	1
putnam_1968_b4	2f7be01d-598c-4679-b9d6-51aef1b3c900	2026-08-08T08:02:53	2026-08-08T08:20:59	deepseek-v4-flash	56	1738427	58292	99737	0.041	1
putnam_1968_b5	e29494f2-a6d9-44e1-8453-f1c163401251	2026-08-08T08:11:25	2026-08-08T08:31:02	deepseek-v4-flash	61	1775670	53833	101495	0.0409	1
putnam_1968_b6	1b8f4b88-13b7-42f8-a0fc-8bb6ef2369be	2026-08-08T08:21:09	2026-08-08T08:31:51	deepseek-v4-flash	26	343856	22609	63739	0.022	1
putnam_1969_a1	af45edc4-e6d4-40ac-b610-ad1d57ac9512	2026-08-08T08:31:11	2026-08-08T08:51:41	deepseek-v4-flash	61	1952404	58551	115009	0.0459	1
putnam_1969_a2	9df1cd68-eb9e-4f46-ba3c-a21b01822f2a	2026-08-08T08:31:58	2026-08-08T09:17:07	deepseek-v4-flash	116	6099198	91500	248072	0.0993	1
putnam_1969_a4	9434fa69-f316-42aa-a28d-dcfa540d912a	2026-08-08T08:51:50	2026-08-08T09:40:54	deepseek-v4-flash	174	11541411	122678	219832	0.111	1
putnam_1969_a5	90513de7-d428-4ea4-905d-299bd83b5b22	2026-08-08T08:55:38	2026-08-08T08:58:38	deepseek-v4-flash	11	63248	10732	16781	0.0064	1
putnam_1969_a6	29f7343c-d351-4910-a772-1b96386d3a79	2026-08-08T08:58:46	2026-08-08T09:04:33	deepseek-v4-flash	10	51576	10167	30045	0.01	1
putnam_1969_b1	86d2633c-d953-4255-833d-581a4581f47e	2026-08-08T09:04:45	2026-08-08T09:16:10	deepseek-v4-flash	36	519406	32277	64308	0.024	1
putnam_1969_b2	d725794a-92fe-41c8-9ff2-0f847eea38c1	2026-08-08T09:16:17	2026-08-08T09:32:31	deepseek-v4-flash	43	896327	42293	101507	0.0369	1
putnam_1969_b3	c43138c9-b3c5-4257-998b-a2572868f52d	2026-08-08T09:17:16	2026-08-08T09:26:08	deepseek-v4-flash	27	284693	21802	53424	0.0188	1
putnam_1969_b4	29c8ffee-4a0f-4289-8a92-118143462d02	2026-08-08T09:26:17	2026-08-08T11:16:29	deepseek-v4-flash	219	23598643	191628	304119	0.1781	1
putnam_1969_b5	7fce888d-f449-4cb2-90f3-9bdcd929f059	2026-08-08T09:32:38	2026-08-08T09:52:15	deepseek-v4-flash	79	2363546	67545	106001	0.0458	1
putnam_1969_b6	8cb7c801-f1de-4135-85eb-eaf2aba35f89	2026-08-08T09:41:07	2026-08-08T09:53:12	deepseek-v4-flash	18	199652	25072	75770	0.0253	1
putnam_1970_a1	4ad53d69-17ac-46cc-aeb8-2a28aa87f76f	2026-08-08T09:52:28	2026-08-08T10:39:17	deepseek-v4-flash	221	16581580	146782	240835	0.1344	1
putnam_1970_a2	3abb1703-096f-49ec-889b-c6483af80d35	2026-08-08T09:53:21	2026-08-08T10:15:26	deepseek-v4-flash	32	566870	26716	59992	0.0221	1
putnam_1970_a3	bef1b667-9f37-4a00-b03c-40585459f611	2026-08-08T10:16:25	2026-08-08T10:36:10	deepseek-v4-flash	65	1747299	55236	94000	0.0389	1
putnam_1970_a4	30bed0fa-8a48-440d-97ab-3e6b1cc68d4a	2026-08-08T10:36:22	2026-08-08T10:42:20	deepseek-v4-flash	33	316559	19004	28330	0.0115	1
putnam_1970_b1	ced15757-30e9-476d-8f37-b685440fa9ab	2026-08-08T10:39:29	2026-08-08T11:06:31	deepseek-v4-flash	132	5395530	83839	122174	0.0611	1
putnam_1970_b2	5bc26dbb-1515-4375-b12e-9379cd03a175	2026-08-08T10:42:32	2026-08-08T10:52:57	deepseek-v4-flash	42	746899	34300	59323	0.0235	1
putnam_1970_b3	62548f5f-09c0-403f-b686-490c0c2cc61f	2026-08-08T10:53:10	2026-08-08T10:55:19	deepseek-v4-flash	9	35394	6920	10140	0.0039	1
putnam_1970_b4	ee4c1f87-732c-48bc-852b-c521dea89a8c	2026-08-08T10:55:28	2026-08-08T11:04:19	deepseek-v4-flash	16	184420	26582	54491	0.0195	1
putnam_1970_b5	37e56cb6-fa58-494a-8189-c2abb4ea9602	2026-08-08T11:04:38	2026-08-08T11:10:26	deepseek-v4-flash	12	78470	10920	33269	0.0111	1
putnam_1970_b6	7a66f71e-4249-4b00-ab33-3402570f8e35	2026-08-08T11:06:44	2026-08-08T15:56:20	deepseek-v4-flash	448	93370947	414445	697216	0.5147	0
putnam_1970_b6	4c5f58b5-5460-464d-907d-cfe8e0812d8a	2026-08-12T04:08:01	2026-08-12T10:42:12	deepseek-v4-flash	554	72199730	434983	833629	0.4965	0
putnam_1970_b6	7bc9f32a-12ad-43b1-bbcc-b4023d33e565	2026-08-12T23:10:04	2026-08-13T20:02:41	deepseek-v4-pro	2083	508428888	2145756	1625728	4.1908	1
putnam_1971_a1	1ed3ac95-1af2-4997-8720-d68198044202	2026-08-08T11:10:34	2026-08-08T11:14:49	deepseek-v4-flash	9	50880	13422	22044	0.0082	1
putnam_1971_a2	0ed42d71-bd13-4c52-aee6-baacf7eb3a0e	2026-08-08T11:15:04	2026-08-08T11:17:02	deepseek-v4-flash	10	39361	7219	9202	0.0037	1
putnam_1971_a3	aa436bca-cc6f-4ddd-b3e6-c9eac2f19708	2026-08-08T11:17:09	2026-08-08T11:30:59	deepseek-v4-flash	29	530220	30211	58107	0.022	1
putnam_1971_a4	d08e38d5-653d-43eb-a332-04e628c0095a	2026-08-08T11:17:11	2026-08-08T11:43:48	deepseek-v4-flash	52	1295795	49182	149953	0.0525	1
putnam_1971_a5	92309243-3e27-4be9-9ef0-c99677cf582e	2026-08-08T11:31:49	2026-08-08T11:54:36	deepseek-v4-flash	47	1420168	60157	135217	0.0503	1
putnam_1971_a6	9fc6fca5-2cc1-4a48-8f22-f1138b3cd4f8	2026-08-08T11:44:08	2026-08-08T12:14:38	deepseek-v4-flash	103	4533990	84386	167879	0.0715	1
putnam_1971_b1	5b584fbb-4e7c-4292-92a9-b996679e1405	2026-08-08T11:54:52	2026-08-08T11:55:33	deepseek-v4-flash	4	7305	3060	3287	0.0014	1
putnam_1971_b2	654cad93-458b-4f22-94da-fac7e28fbed5	2026-08-08T11:55:38	2026-08-08T12:00:35	deepseek-v4-flash	13	64008	8704	29713	0.0097	1
putnam_1971_b3	8ab993cc-3b1c-4171-a2bd-95b928c24335	2026-08-08T12:00:43	2026-08-08T12:09:53	deepseek-v4-flash	34	545863	28319	47400	0.0188	1
putnam_1971_b6	a19de22e-774c-40b2-894e-57e17281c84e	2026-08-08T12:10:04	2026-08-08T12:26:50	deepseek-v4-flash	60	1327683	45941	87917	0.0348	1
putnam_1972_a1	9fb1ebc7-a947-45e5-8abb-49be2fd77d4f	2026-08-08T12:14:47	2026-08-08T12:22:02	deepseek-v4-flash	17	134950	15414	39941	0.0137	1
putnam_1972_a2	ebadecc4-1466-4eff-b66b-3b1fb8d56d87	2026-08-08T12:22:15	2026-08-08T12:28:45	deepseek-v4-flash	19	112971	11011	36723	0.0121	1
putnam_1972_a3	168056e1-ec28-4939-92c3-cfa127d9b47f	2026-08-08T12:26:57	2026-08-08T14:04:07	deepseek-v4-flash	191	22687606	212496	469068	0.2246	1
putnam_1972_a5	dc16bf03-45f1-43bc-934d-b06e3160b98d	2026-08-08T12:28:52	2026-08-08T12:35:29	deepseek-v4-flash	18	150618	14006	33732	0.0118	1
putnam_1972_a6	8d54f860-7a54-49d9-ba1f-794901de4539	2026-08-08T12:35:37	2026-08-08T13:04:55	deepseek-v4-flash	112	5215161	90800	163308	0.073	1
putnam_1972_b1	c3ab93d2-37a4-44bc-9322-534d3a3a33bc	2026-08-08T12:44:58	2026-08-08T13:14:05	deepseek-v4-flash	128	6578048	101952	135595	0.0707	1
putnam_1972_b2	605bf9dd-7fae-4c2e-9327-7df05779c20d	2026-08-08T13:05:09	2026-08-08T13:13:20	deepseek-v4-flash	38	729329	37504	42584	0.0192	1
putnam_1972_b3	73888570-6db2-4995-8348-2bb81c366941	2026-08-08T13:13:33	2026-08-08T13:19:06	deepseek-v4-flash	12	62467	9329	28961	0.0096	1
putnam_1972_b4	2c3879f3-d81c-4cea-a762-4f2d5bf60019	2026-08-08T13:14:23	2026-08-08T13:22:52	deepseek-v4-flash	20	145049	15573	44627	0.0151	1
putnam_1972_b5	26c4dbb5-4c55-42cc-98de-6ae4a24681b7	2026-08-08T13:19:18	2026-08-08T14:10:10	deepseek-v4-flash	86	3865639	85295	202320	0.0794	1
putnam_1972_b6	e71ca1d1-9ccd-4799-a646-99d00c302552	2026-08-08T13:23:03	2026-08-08T13:59:51	deepseek-v4-flash	72	2913660	78184	192150	0.0729	1
putnam_1973_a1	71bf6e0f-2073-4988-a030-0203e339da13	2026-08-08T14:00:01	2026-08-08T15:34:02	deepseek-v4-flash	194	17279005	169004	318970	0.1614	1
putnam_1973_a2	ac20c7a5-20a5-487c-91e9-9bc5f3babb27	2026-08-08T14:04:34	2026-08-08T14:50:45	deepseek-v4-flash	104	5048017	86800	222467	0.0886	1
putnam_1973_a3	e13b5371-c1c7-4950-9536-b1b0678a2b93	2026-08-08T14:11:10	2026-08-08T14:23:13	deepseek-v4-flash	19	186933	20827	67883	0.0224	1
putnam_1973_a4	4e229d4e-2a4f-4e9c-a503-8fee83d7a2bd	2026-08-08T14:23:36	2026-08-08T14:47:51	deepseek-v4-flash	78	3481893	73736	118982	0.0534	1
putnam_1973_a6	7d6ed436-3bd3-4e5b-bd23-6819878c0fb6	2026-08-08T14:48:05	2026-08-08T14:52:02	deepseek-v4-flash	4	7126	4102	21677	0.0067	0
putnam_1973_a6	a3206256-f7c1-4818-b9a3-db32bccd9563	2026-08-12T04:08:03	2026-08-12T04:33:22	deepseek-v4-flash	56	1949185	56778	119498	0.0469	1
putnam_1973_b1	4ca8a79f-0733-40a4-a141-8de48152e60a	2026-08-08T14:51:03	2026-08-08T14:58:39	deepseek-v4-flash	15	129933	15949	48616	0.0162	1
putnam_1973_b2	bc19f66d-5a96-41d6-9a27-ebd214289bf5	2026-08-08T14:52:02	2026-08-08T14:59:15	deepseek-v4-flash	18	156288	14259	41171	0.014	1
putnam_1973_b3	3dc4f8d3-80c9-4a79-a811-d79e6383e53a	2026-08-08T14:58:46	2026-08-08T15:14:03	deepseek-v4-flash	23	251438	19517	72976	0.0239	1
putnam_1973_b4	05177350-d5b7-453b-b973-1992625bb3b3	2026-08-08T14:59:22	2026-08-08T15:07:14	deepseek-v4-flash	23	352194	28076	49653	0.0188	1
putnam_1974_a1	a60e2560-17db-42d5-8365-183e685aae8e	2026-08-08T15:07:23	2026-08-08T15:37:22	deepseek-v4-flash	41	1137273	73519	135848	0.0515	1
putnam_1974_a3	f4e1f6aa-75c6-4aa1-9565-c014dd9f41d9	2026-08-08T15:14:35	2026-08-08T15:28:33	deepseek-v4-flash	30	498476	35593	82178	0.0294	1
putnam_1974_a4	5b7e2a26-b400-42d1-a6d9-6f34b24bb21b	2026-08-08T15:28:42	2026-08-08T15:36:59	deepseek-v4-flash	35	378621	22439	41924	0.0159	1
putnam_1974_a6	e3b53333-3acf-495c-a45b-1f65e2facd21	2026-08-08T15:36:29	2026-08-08T15:53:14	deepseek-v4-flash	63	2287060	57952	80875	0.0372	1
putnam_1974_b1_fix	f8d345df-f10b-41ea-b955-ce4918759c17	2026-08-14T22:40:16	2026-08-15T04:51:47	deepseek-v4-pro	424	79554318	363922	318363	0.7237	1
putnam_1974_b1_fix	0bf93a72-70f1-4e72-a585-f5f6675fd7ac	2026-08-14T22:40:22	2026-08-15T02:42:50	deepseek-v4-pro	275	39861936	314493	265979	0.5127	1
putnam_1974_b2	45499dde-4506-477b-9082-3d0e560581ff	2026-08-08T15:37:52	2026-08-08T16:11:11	deepseek-v4-flash	54	1894277	63694	158192	0.0585	1
putnam_1974_b3	c408b8ec-e3c9-4708-8045-922733288d76	2026-08-08T15:47:28	2026-08-08T15:49:21	deepseek-v4-flash	10	54916	10121	8178	0.0039	1
putnam_1974_b4	4226f01a-a2a8-4931-9a16-759784bf76d1	2026-08-08T15:47:32	2026-08-08T16:07:12	deepseek-v4-flash	42	819844	37117	77540	0.0292	1
putnam_1974_b5	26fdb41b-feec-43ef-ae67-aef01b1df8e4	2026-08-08T15:47:37	2026-08-08T16:31:48	deepseek-v4-flash	141	6592749	99897	238435	0.0992	1
